kind,.pred_AI,.pred_class,detector,native,name,model,document_id,prompt
Human,0.999994235,AI,Sapling,No,Real TOEFL,Human,497,NA
Human,0.828144789,AI,Crossplag,No,Real TOEFL,Human,278,NA
Human,0.000213746,Human,Crossplag,Yes,Real College Essays,Human,294,NA
AI,0,Human,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,671,Plain
AI,0.001784091,Human,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,717,Elevate using technical
Human,0.000178271,Human,HFOpenAI,Yes,Real CS224N,Human,855,NA
AI,0.991587579,AI,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,533,Plain
AI,0.022602066,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,484,Elevate using technical
Human,0,Human,ZeroGPT,Yes,Real CS224N,Human,781,NA
Human,0.999999308,AI,Sapling,No,Real TOEFL,Human,460,NA
AI,0.999181688,AI,Quil,NA,Fake CS224N - GPT3,GPT3,591,Plain
AI,0.000206552,Human,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,11,Plain
Human,4.00E-04,Human,OriginalityAI,Yes,US 8th grade essay,Human,194,NA
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,261,Enhance like native
AI,1,AI,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,531,Plain
AI,0.002164013,Human,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,170,Simplify like non-native
Human,0.992240548,AI,OriginalityAI,No,Real TOEFL,Human,306,NA
AI,0.862290597,AI,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,169,Simplify like non-native
Human,0.711835206,AI,HFOpenAI,No,Real TOEFL,Human,302,NA
AI,7.74E-07,Human,Sapling,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,5,Elevate using literary
AI,0.000223576,Human,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,554,Elevate using technical
AI,0.16766797,Human,Crossplag,NA,Fake CS224N - GPT3,GPT3,672,Plain
Human,0.000174047,Human,Crossplag,Yes,Real College Essays,Human,47,NA
AI,0,Human,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,380,Enhance like native
Human,1.45E-11,Human,GPTZero,Yes,Real CS224N,Human,808,NA
AI,0.003674402,Human,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,270,Enhance like native
